term,MAE,MSE,RMSE,MAPE
16train_size-6predict_size,729.372814741291,685760.6500794814,828.1066658827723,20.035882453824925
16train_size-7predict_size,716.1462850765306,667030.0470412754,816.719074738233,19.556036589548903
17train_size-2predict_size,768.2942455924131,760157.725346184,871.8702457052792,20.96152849795254
17train_size-3predict_size,739.8485260556675,699585.047798214,836.4120084014899,20.330077452724193
17train_size-4predict_size,822.3495103990709,992431.2915180264,996.2084578631253,20.38387822439793
17train_size-5predict_size,779.5306019658627,827468.398981643,909.6529002766072,20.515355458680855
17train_size-6predict_size,763.9934486708788,801775.9556087404,895.4194299928612,20.221190380465664
17train_size-7predict_size,746.4564153410763,783255.1364290119,885.0170260673023,19.463111028997773
18train_size-2predict_size,683.7013768486798,677437.675493779,823.0660213456628,17.37840221344544
18train_size-3predict_size,846.9732906656026,1084408.17462044,1041.349208776979,20.261258494976968
18train_size-4predict_size,828.1450469145904,935456.3604516027,967.1899298749976,21.445343934450612
18train_size-5predict_size,741.8970432447351,714377.5060014002,845.2085576953183,20.429683752802475
18train_size-6predict_size,767.7566407139401,796775.6136853389,892.6228843612172,20.296068467716523
18train_size-7predict_size,780.9380160680558,877782.0392331643,936.9002290709317,19.851223640353542
19train_size-2predict_size,774.5915919013202,839575.7803527308,916.2836789732374,21.439138742484378
19train_size-3predict_size,794.2370237945229,886541.8434066136,941.563510022884,20.269815714951676
19train_size-4predict_size,774.2960732949747,834877.2472744507,913.7161743530924,20.12911079748456
19train_size-5predict_size,689.7914426057235,718934.3120191282,847.8999422214441,17.864066247885017
19train_size-6predict_size,715.1629338498975,668732.2402849888,817.7605030111131,19.648306065734424
19train_size-7predict_size,674.0939393335459,613611.5544636882,783.3336163242889,18.48481892664936
20train_size-2predict_size,717.1447688628008,666970.3078739146,816.6825012658926,19.616804272650402
20train_size-3predict_size,739.030500952061,701617.7014398677,837.6262301527262,20.332464534750926
20train_size-4predict_size,780.6512741501267,849215.6928466246,921.5289972901692,20.319798422866377
20train_size-5predict_size,750.0424141261889,713564.9956803381,844.7277642414379,20.632551610380432
20train_size-6predict_size,751.5177050870191,842850.7188837747,918.0690164055068,18.912434256760108
20train_size-7predict_size,787.4187490801609,868746.483816062,932.0657078854806,20.35602844967923
21train_size-2predict_size,716.2147889162767,717645.2224718991,847.1394350825011,18.322153454305166
21train_size-3predict_size,851.2499107442876,1095551.1132310666,1046.6857757852003,20.389540209747157
21train_size-4predict_size,741.2525852512669,826135.0813475783,908.9197331709651,19.533317668894647
21train_size-5predict_size,752.4321432362432,756457.6647869932,869.7457472083397,20.820050616912667
21train_size-6predict_size,773.3175260060906,802213.9623442482,895.6639784786748,20.514990291454087
21train_size-7predict_size,763.5603544753238,788771.1490566315,888.1278900342177,20.311168318202082
