term,MAE,MSE,RMSE,MAPE
16train_size-6predict_size,835.773582472393,937645.2918190925,968.3208620179018,22.141383662044117
16train_size-7predict_size,809.8629106315002,948581.6705757919,973.9515750671549,20.36794382593204
17train_size-2predict_size,741.6778048755014,713360.596813506,844.6067705231269,20.37296829738527
17train_size-3predict_size,754.0707535282259,723290.8826207696,850.465097826342,20.760519859229042
17train_size-4predict_size,745.1883977116765,750712.8937760235,866.4368954378753,20.21896560278846
17train_size-5predict_size,736.2200842815897,690720.4509623875,831.0959336697464,20.20194977347172
17train_size-6predict_size,740.3088832500854,703470.0998481225,838.7312441110814,20.379747373487294
17train_size-7predict_size,745.4863990292631,710874.6495292289,843.1338265834369,20.528907182399575
18train_size-2predict_size,697.0474396567931,691971.3427839291,831.8481488732959,17.895898062980923
18train_size-3predict_size,745.5099520119288,708573.9513479454,841.7683477940623,20.430747952272487
18train_size-4predict_size,695.044300966005,617920.1302653621,786.0789593071182,19.043382983889686
18train_size-5predict_size,716.6978260869565,646894.8664468973,804.2977473839507,19.609402183838508
18train_size-6predict_size,786.6557194721937,777098.8186562941,881.5320860049816,21.534012533122997
18train_size-7predict_size,747.4319092946674,720158.0808976275,848.6212823737262,20.596665581628912
19train_size-2predict_size,756.1804956446357,721721.4518860898,849.5419070805688,20.730562211537535
19train_size-3predict_size,720.6305076024865,679515.200211807,824.3271196629448,19.885983392337128
19train_size-4predict_size,778.7638295766469,841811.2532936564,917.502726586497,20.25161879661825
19train_size-5predict_size,777.5822260317595,818854.7549204679,904.905937056702,20.45307150203786
19train_size-6predict_size,743.3971576516963,705051.0112853297,839.6731574162233,20.364415360303035
19train_size-7predict_size,676.2246390781372,662287.2487404848,813.8103272510646,17.84256564419088
20train_size-2predict_size,722.996061110879,681381.691945171,825.4584737860355,19.816740325463698
20train_size-3predict_size,745.9590832563284,732437.3470651774,855.8255354131339,20.61728060700097
20train_size-4predict_size,712.2350826778927,695152.8330766137,833.7582581759617,18.72970149999453
20train_size-5predict_size,769.7579021951427,814805.2977786025,902.66566223525,20.28162506151055
20train_size-6predict_size,748.3855505215448,733217.4415651072,856.2811696896687,20.716326082037522
20train_size-7predict_size,747.3370689020801,708597.473083751,841.7823192986124,20.536273709473644
21train_size-2predict_size,716.7517037621157,678454.8240396843,823.6836917407581,19.95051558668159
21train_size-3predict_size,740.2391615563396,699933.8950093597,836.6205203133376,20.348697857536454
21train_size-4predict_size,737.3426559860642,704944.5587457399,839.6097657517687,20.32730137148828
21train_size-5predict_size,801.3406504755435,928836.5291921014,963.7616558009047,20.186642772603278
21train_size-6predict_size,667.1797613202983,615378.2283103215,784.4604695651154,18.56539991845102
21train_size-7predict_size,790.9126946226207,806766.3195504491,898.2017142883046,21.730819933236575
