,term,MAE,MSE,RMSE,MAPE
0,13train_size-3predict_size,1941.4381284185972,5324379.558729752,2307.4617133832908,40.13138138510157
1,13train_size-3predict_size,1131.4700360586592,2728748.6202968103,1651.8924360553294,23.334621668546337
2,13train_size-3predict_size,261.61648555642694,98583.05339027954,313.9793837026239,5.3328452618831985
3,13train_size-3predict_size,254.01188842302125,94944.0052021685,308.12985120265205,5.175220339176756
4,13train_size-3predict_size,265.0631849762709,100044.20604478575,316.2976541879275,5.42664946394787
