경락단가,도매가격,day_sentiment
3750.3660933660935,4104,0.0
3547.574931880109,4049,0.0
3696.0608974358975,3920,-0.1041666666666666
3770.156363636364,3917,-0.1041666666666666
3815.720634920635,4090,-0.1041666666666666
3717.346153846154,4079,-0.1041666666666666
3699.919093851133,4162,-0.0625
3733.5532786885246,4043,-0.2916666666666666
3750.8688524590166,3814,-0.0694444444444444
3798.076219512195,4122,-0.0694444444444444
3818.9063670411983,4092,-0.0694444444444444
3704.159574468085,3962,-0.2305555555555555
3685.272151898734,3941,-0.0416666666666666
3708.250825082508,3972,0.0
3878.417763157895,3988,0.0
3923.907630522088,4014,0.0
3724.382838283828,4015,0.1
3856.119691119691,3946,-0.2222222222222222
3795.772200772201,3858,-0.1333333333333333
3976.0901960784313,4158,-0.1333333333333333
4031.7636363636366,4246,-0.1333333333333333
4220.747252747253,4267,-0.0166666666666666
4366.439688715954,4273,-0.0793650793650793
4785.950877192982,4348,-0.1785714285714285
4792.674358974359,4672,-0.1785714285714285
4940.033222591363,4624,-0.1785714285714285
4792.056379821958,4560,0.0833333333333333
4664.47284345048,4362,-0.1166666666666666
4434.132841328414,4253,-1.0
4564.4951768488745,4188,-1.0
3642.7697841726617,3798,-1.0
3732.192307692308,3962,-1.0
3665.9963898916967,3882,-1.0
3787.2736842105264,3792,-0.0833333333333333
3919.26171875,3731,-0.25
3865.524590163935,3743,-0.1964285714285714
4135.580882352941,4018,-0.1964285714285714
4191.967302452316,4014,-0.1964285714285714
3954.994186046512,3879,0.0274725274725274
4023.0204081632655,4075,0.0274725274725274
3947.420895522388,4044,0.0274725274725274
3880.95498392283,3995,-0.0444444444444444
3772.514814814815,3991,-0.2809523809523809
3717.276752767528,3865,-0.0555555555555555
3976.75,3816,-0.0555555555555555
3977.296428571429,3987,-0.0555555555555555
3823.635687732342,3884,-0.0555555555555555
3857.38683127572,3944,-0.285
3913.693277310924,3815,-0.3055555555555555
4095.098765432099,3720,-0.3055555555555555
4039.8910505836575,4009,-0.3055555555555555
4212.655555555555,3898,0.1666666666666666
4146.333333333333,4091,0.2
3921.132575757576,4049,-0.0555555555555555
